idmonitoreodiario,fechamonitoreo,clavesih,nombreoficial,nombrecomun,estado,nommunicipio,regioncna,latitud,longitud,uso,corriente,tipovertedor,inicioop,elevcorona,bordolibre,nameelev,namealmac,namoelev,namoalmac,alturacortina,elevacionactual,almacenaactual,llenano
2186552,2024-01-01,LCDSO,"Lázaro Cárdenas, Son.","La Angostura, Son.",Sonora,Nacozari de García,Noroeste,30.437778,-109.378889,RI,R. Bavispe,Libre,,,3.59998,840.1500244,1116.459961,830.7000122,703.3800049,,819.59,345.475,0.49116408995606303
2186553,2024-01-01,PECSO,"Plutarco Elías Calles, Son.","El Novillo, Son.",Sonora,Soyopa,Noroeste,28.976667,-109.642222,GH,R. Yaqui,Contr,,,1.00001,296.8,3511.96,290.5,2833.07,,259.85,713.096,0.25170433487347604
2186554,2024-01-01,AOBSO,"Alvaro Obregón, Son.","Oviachic, Son.",Sonora,Cajeme,Noroeste,27.8225,-109.8925,AP/GH/RI,R. Yaqui,Libre,,,2.9,112.1999969,4478.215,105.5,3023.14,,90.25,975.153,0.322562964335095
2186555,2024-01-01,AGZCH,"Abraham González, Chih.","Guadalupe, Chih.",Chihuahua,Guerrero,Noroeste,28.481667,-107.482778,RI,R. Papigochi,Libre,,,1.5999500000000002,2051.300049,102.891,2047.800049,79.354,,2036.6,24.435,0.307923986188471
2186556,2024-01-01,IRASO,"Ignacio R. Alatorre, Son.","Punta de Agua, Son.",Sonora,Guaymas,Noroeste,28.426389,-110.396944,RI,R. San Marcial o Mátape,Libre,,,2.29,102.7099991,29.69000053,100.0,16.15999985,,91.2,0.0,0.0
2186557,2024-01-01,ARCSO,"Adolfo Ruiz Cortines, Son.","Mocúzari, Son.",Sonora,Alamos,Noroeste,27.226111,-109.106667,AP/GH/RI,Río Mayo,Mixto,,,2.5300000000000002,145.4700012,1822.141,138.46,1200.0,,117.79,212.202,0.176835
2186558,2024-01-01,CHTSO,"Cuauhtémoc, Son.","Santa Teresa, Son.",Sonora,Tubutama,Noroeste,30.873333,-111.516389,RI,R. Altar,Libre,,,2.75,600.25,66.33000183,597.0,41.47000122,,585.23,1.2770000000000001,0.030793343680543
2186559,2024-01-01,AGCSO,"Agua Caliente, Son.",Dique 10,Sonora,Cajeme,Noroeste,27.75,-109.887778,RI,Canal Alto Oviachic,Libre,,,0.0,79.6,41.16,79.1,37.58,,78.36,32.274,0.8588078765300691
2186560,2024-01-01,ARLSO,"Abelardo Rodríguez Luján, Son.","Hermosillo, Son.",Sonora,Hermosillo,Noroeste,29.076667,-110.92,AP,R. Sonora,Contr,,,3.20001,228.3999939,284.4700012,226.98,219.52,,214.72,0.005,2.2776967930029103e-05
2186561,2024-01-01,PMOSO,"Ing. Rodolfo Félix Valdés, Son.","El Molinito, Son.",Sonora,Hermosillo,Noroeste,29.2125,-110.725556,AP,R. Sonora,Libre,,,2.00001,293.4,222.47,289.36,121.202,,278.3,10.937,0.090237784855035
2186562,2024-01-01,CRRBN,"El Carrizo, B.C.","El Carrizo, B.C.",Baja California,Tijuana,Península de Baja California,32.479444,-116.696944,AP,A. Carrizo,Libre,,,2.12,286.2200012,44.58499908,284.7000122,40.86600113,,272.96,17.719,0.43358781162936805
2186563,2024-01-01,ALRBN,"Abelardo L. Rodríguez, B.C.","Tijuana, B.C.",Baja California,Tijuana,Península de Baja California,32.444722,-116.908333,AP,R. Tijuana,Contr,,,2.0,125.0,121.392,115.85,76.9,,103.63,30.848,0.40114434330299
2186564,2024-01-01,AURBN,"Las Auras, B.C.",,Baja California,Tecate,Península de Baja California,32.544722,-116.531667,AP,A. Las Auras,Libre,,,0.0,822.0,5.1,820.0,5.01,,812.534,2.163,0.43173652694610704
2186565,2024-01-01,ELZBN,"Emilio López Zamora, B.C.","Ensenada, B.C.",Baja California,Ensenada,Península de Baja California,31.890278,-116.6025,AP,A. Ensenada,Libre,,,1.74,25.26000023,6.342000008,19.88999939,2.732000113,,18.97,2.342,0.8572474023173661
2186566,2024-01-01,LDCSI,"Luis Donaldo Colosio, Sin.","Huites, Sin.",Sinaloa,Choix,Pacífico Norte,26.844722,-108.367778,GH,R. Fuerte,Contr,,,0.75,290.0,4567.08,274.0,3202.16,,222.32,677.234,0.21149286731456202
2186567,2024-01-01,PMHSI,"Miguel Hidalgo, Sin.","El Mahoné, Sin.",Sinaloa,El Fuerte,Pacífico Norte,26.509722,-108.58,AP/GH/RI,R. Fuerte,Mixto,,,3.4,148.0,4171.273,142.36,3312.89,,119.69,895.133,0.270197018313315
2186599,2024-01-01,VCRCL,"Venustiano Carranza, Coah.","Don Martín, Coah.",Coahuila de Zaragoza,Juárez,Río Bravo,27.515,-100.616111,AP/RI,R. Sabinas,Contr,,,4.00001,261.7999878,1322.372,259.24,874.1,,252.18,167.445,0.19156275025740702
2186600,2024-01-01,LBCNL,"Rodrigo Gómez, N.L.","La Boca, N.L.",Nuevo León,Santiago,Río Bravo,25.428056,-100.128056,AP,A. La Chueca - San Juan,Contr,,,0.839988,449.2000122,42.657,448.54,39.49,,435.98,4.422,0.111977715877437
2186601,2024-01-01,CCHNL,"Cuchillo Solidaridad, N.L.","El Cuchillo, N.L.",Nuevo León,China,Río Bravo,25.711667,-99.276944,AP/RI,R. San Juan,Contr,,,3.0,166.6600037,1784.292,162.35,1123.143,,156.11,495.008,0.44073461705232503
2186602,2024-01-01,MRGTP,"Marte Rodolfo Gómez, Tamps.","El Azúcar, Tamps.",Tamaulipas,Camargo,Río Bravo,26.204722,-98.925556,RI,R. San Juan,Libre,,,3.0,83.0,2208.663,76.3,781.7,,73.72,465.567,0.595582704362287
2186603,2024-01-01,LBLTP,"Derivadora Las Blancas, Tamps.","Las Blancas, Tamps.",Tamaulipas,Mier,Río Bravo,26.408889,-99.233611,RI,R. Sombreretillo,Libre,,,1.5,91.80000305,133.43206,89.91999817,83.784,,85.18,25.937,0.309569846271364
2186604,2024-01-01,TNTCH,"El Tintero, Chih.","El Tintero, Chih.",Chihuahua,Buenaventura,Río Bravo,29.5625,-107.384167,RI,R. Santa María,Libre,,,2.96997,1709.030029,216.7030029,1703.0,125.0749969,,1686.71,14.659,0.11720168189746301
2186605,2024-01-01,LJSCH,"Las Lajas, Chih.","Las Lajas, Chih.",Chihuahua,Buenaventura,Río Bravo,29.88,-107.025833,RI,R. El Carmen o Santa Clara,Libre,,,2.18,1561.619995,106.5469971,1558.699951,83.26599884,,1544.28,13.194,0.15845603468173
